time,mac,neighborMac,neighborFlag,rssi,numTxPackets,numTxFailures,numRxPackets,mote_board,ngbr_board,distance
1478136943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,68,7,2,huron,huron,3.41503261698
1478136943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,36,huron,huron,0.094935297966
1478137842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,66,4,2,huron,huron,3.41503261698
1478137842,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,31,huron,huron,0.094935297966
1478138741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,66,4,2,huron,huron,3.41503261698
1478138741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,32,huron,huron,0.094935297966
1478139643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,63,3,2,huron,huron,3.41503261698
1478139643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-35,0,0,31,huron,huron,0.094935297966
1478140542,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-62,66,5,1,huron,huron,3.41503261698
1478140542,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,32,huron,huron,0.094935297966
1478141443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,2,2,huron,huron,3.41503261698
1478141443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,37,huron,huron,0.094935297966
1478142343,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,66,4,2,huron,huron,3.41503261698
1478142343,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,31,huron,huron,0.094935297966
1478143241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,68,6,2,huron,huron,3.41503261698
1478143241,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-32,0,0,34,huron,huron,0.094935297966
1478144144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,66,5,2,huron,huron,3.41503261698
1478144144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,29,huron,huron,0.094935297966
1478145042,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-63,65,3,1,huron,huron,3.41503261698
1478145042,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,28,huron,huron,0.094935297966
1478145944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,62,0,2,huron,huron,3.41503261698
1478145944,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,34,huron,huron,0.094935297966
1478146844,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,67,4,2,huron,huron,3.41503261698
1478146844,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,30,huron,huron,0.094935297966
1478147741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,66,4,2,huron,huron,3.41503261698
1478147741,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,39,huron,huron,0.094935297966
1478148643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,66,6,1,huron,huron,3.41503261698
1478148643,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478149543,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,64,2,2,huron,huron,3.41503261698
1478149543,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,36,huron,huron,0.094935297966
1478150444,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,67,4,2,huron,huron,3.41503261698
1478150444,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-37,0,0,31,huron,huron,0.094935297966
1478151344,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,65,3,2,huron,huron,3.41503261698
1478151344,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,33,huron,huron,0.094935297966
1478152242,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,63,1,2,huron,huron,3.41503261698
1478152242,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-34,0,0,36,huron,huron,0.094935297966
1478153144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,61,1,1,huron,huron,3.41503261698
1478153144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,28,huron,huron,0.094935297966
1478154043,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,0,2,huron,huron,3.41503261698
1478154043,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,33,huron,huron,0.094935297966
1478154941,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,61,0,2,huron,huron,3.41503261698
1478154941,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-33,0,0,28,huron,huron,0.094935297966
1478155843,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,61,0,2,huron,huron,3.41503261698
1478155843,00-17-0d-00-00-38-00-63,00-17-0d-00-00-38-03-dd,0,-36,0,0,30,huron,huron,0.094935297966
1478156742,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,65,1,1,huron,huron,3.41503261698
1478157644,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,1,2,huron,huron,3.41503261698
1478158543,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,62,0,2,huron,huron,3.41503261698
1478159442,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,62,1,2,huron,huron,3.41503261698
1478160343,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,2,2,huron,huron,3.41503261698
1478161242,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,62,0,1,huron,huron,3.41503261698
1478162144,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,60,0,2,huron,huron,3.41503261698
1478163043,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,63,1,2,huron,huron,3.41503261698
1478163942,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,63,3,2,huron,huron,3.41503261698
1478164845,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,62,1,2,huron,huron,3.41503261698
1478165742,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,1,1,huron,huron,3.41503261698
1478166644,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,61,1,2,huron,huron,3.41503261698
1478167543,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-53,62,0,2,huron,huron,3.41503261698
1478168442,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,63,2,2,huron,huron,3.41503261698
1478169345,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,61,0,1,huron,huron,3.41503261698
1478170242,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,62,0,2,huron,huron,3.41503261698
1478171147,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-60,61,0,2,huron,huron,3.41503261698
1478172043,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,0,2,huron,huron,3.41503261698
1478172942,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,1,2,huron,huron,3.41503261698
1478173844,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,61,0,1,huron,huron,3.41503261698
1478174743,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,62,0,2,huron,huron,3.41503261698
1478175645,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-59,60,0,2,huron,huron,3.41503261698
1478176544,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-66,63,1,2,huron,huron,3.41503261698
1478177442,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,66,4,1,huron,huron,3.41503261698
1478178344,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-55,64,3,2,huron,huron,3.41503261698
1478179244,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,64,2,2,huron,huron,3.41503261698
1478180145,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,61,0,2,huron,huron,3.41503261698
1478181044,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,62,0,2,huron,huron,3.41503261698
1478181942,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-68,63,1,1,huron,huron,3.41503261698
1478182844,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-70,61,0,2,huron,huron,3.41503261698
1478183744,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,65,3,2,huron,huron,3.41503261698
1478184645,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-54,62,1,2,huron,huron,3.41503261698
1478185544,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-55,63,1,2,huron,huron,3.41503261698
1478186443,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-53,62,0,1,huron,huron,3.41503261698
1478187345,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,62,1,2,huron,huron,3.41503261698
1478188244,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-61,63,1,2,huron,huron,3.41503261698
1478189145,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-58,62,1,2,huron,huron,3.41503261698
1478190044,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,64,2,1,huron,huron,3.41503261698
1478190943,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,64,2,2,huron,huron,3.41503261698
1478191845,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-56,62,1,2,huron,huron,3.41503261698
1478192744,00-17-0d-00-00-38-00-63,00-17-0d-00-00-58-f5-23,0,-57,62,0,2,huron,huron,3.41503261698
