time,mac,channel,rssi,txUnicastAttempts,txUnicastFailures,pdr,lat,long
1505706417,00-17-0d-00-00-38-06-c9,24,-93,17,0,100.0,48.84204,2.384543
1505706417,00-17-0d-00-00-38-06-c9,15,-90,17,0,100.0,48.84204,2.384543
1505706417,00-17-0d-00-00-38-06-c9,14,-93,20,0,100.0,48.84204,2.384543
1505706417,00-17-0d-00-00-38-06-c9,23,-82,18,1,94.4444444444,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,11,-93,17,1,94.1176470588,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,25,-93,18,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,13,-93,22,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,12,-93,18,1,94.4444444444,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,20,-93,18,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,21,-93,26,2,92.3076923077,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,17,-93,13,1,92.3076923077,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,16,-93,16,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,19,-93,19,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,18,-92,18,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,22,-93,16,2,87.5,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,24,-93,18,2,88.8888888889,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,15,-93,20,0,100.0,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,14,-93,19,1,94.7368421053,48.84204,2.384543
1505707767,00-17-0d-00-00-38-06-c9,23,-91,21,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,11,-92,19,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,25,-93,14,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,13,-93,16,1,93.75,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,12,-85,16,1,93.75,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,20,-93,18,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,21,-93,14,1,92.8571428571,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,17,-91,21,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,16,-93,15,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,19,-93,15,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,18,-93,16,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,22,-93,16,1,93.75,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,24,-91,15,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,15,-93,12,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,14,-93,20,0,100.0,48.84204,2.384543
1505709117,00-17-0d-00-00-38-06-c9,23,-91,18,1,94.4444444444,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,11,-93,9,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,25,-93,15,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,13,-93,14,1,92.8571428571,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,12,-92,12,1,91.6666666667,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,20,-93,9,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,21,-93,10,2,80.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,17,-92,12,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,16,-93,14,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,19,-87,11,1,90.9090909091,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,18,-93,10,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,22,-93,14,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,24,-93,13,1,92.3076923077,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,15,-93,13,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,14,-93,11,0,100.0,48.84204,2.384543
1505710469,00-17-0d-00-00-38-06-c9,23,-93,16,2,87.5,48.84204,2.384543
1505665862,00-17-0d-00-00-38-06-d5,11,-93,30,4,86.6666666667,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,25,-93,32,3,90.625,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,13,-89,24,2,91.6666666667,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,12,-93,29,2,93.1034482759,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,20,-93,31,4,87.0967741935,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,21,-92,27,4,85.1851851852,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,17,-91,26,1,96.1538461538,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,16,-91,30,0,100.0,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,19,-93,29,0,100.0,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,18,-93,30,3,90.0,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,22,-93,28,3,89.2857142857,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,24,-93,31,2,93.5483870968,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,15,-93,34,1,97.0588235294,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,14,-93,26,0,100.0,-1,-1
1505665862,00-17-0d-00-00-38-06-d5,23,-87,28,4,85.7142857143,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,11,-93,11,1,90.9090909091,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,25,-93,17,1,94.1176470588,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,13,-93,17,1,94.1176470588,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,12,-93,14,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,20,-93,15,1,93.3333333333,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,21,-93,12,1,91.6666666667,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,17,-93,12,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,16,-93,11,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,19,-93,15,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,18,-89,14,1,92.8571428571,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,22,-92,13,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,24,-93,13,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,15,-93,13,0,100.0,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,14,-92,17,1,94.1176470588,-1,-1
1505667212,00-17-0d-00-00-38-06-d5,23,-93,16,1,93.75,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,11,-93,14,4,71.4285714286,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,25,-93,22,2,90.9090909091,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,13,-93,16,1,93.75,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,12,-92,19,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,20,-93,20,1,95.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,21,-78,12,2,83.3333333333,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,17,-93,17,1,94.1176470588,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,16,-93,13,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,19,-93,10,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,18,-93,16,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,22,-76,16,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,24,-70,13,2,84.6153846154,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,15,-93,13,0,100.0,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,14,-93,11,2,81.8181818182,-1,-1
1505668562,00-17-0d-00-00-38-06-d5,23,-69,14,0,100.0,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,11,-93,31,9,70.9677419355,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,25,-93,27,9,66.6666666667,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,13,-93,31,8,74.1935483871,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,12,-93,20,9,55.0,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,20,-93,28,9,67.8571428571,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,21,-93,18,10,44.4444444444,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,17,-93,26,4,84.6153846154,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,16,-93,24,5,79.1666666667,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,19,-93,37,10,72.972972973,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,18,-93,33,10,69.696969697,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,22,-91,24,12,50.0,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,24,-90,28,15,46.4285714286,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,15,-93,23,7,69.5652173913,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,14,-92,25,9,64.0,-1,-1
1505669911,00-17-0d-00-00-38-06-d5,23,-93,30,19,36.6666666667,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,11,-93,17,1,94.1176470588,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,25,-93,20,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,13,-93,18,1,94.4444444444,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,12,-93,18,8,55.5555555556,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,20,-93,19,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,21,-93,15,1,93.3333333333,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,17,-93,21,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,16,-93,21,1,95.2380952381,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,19,-93,20,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,18,-93,20,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,22,-93,17,2,88.2352941176,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,24,-93,24,1,95.8333333333,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,15,-93,28,0,100.0,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,14,-93,21,1,95.2380952381,-1,-1
1505671261,00-17-0d-00-00-38-06-d5,23,-93,25,1,96.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,11,-93,19,2,89.4736842105,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,25,-93,22,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,13,-92,20,4,80.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,12,-93,26,10,61.5384615385,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,20,-93,17,1,94.1176470588,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,21,-93,17,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,17,-93,22,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,16,-93,23,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,19,-93,17,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,18,-93,24,1,95.8333333333,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,22,-93,19,2,89.4736842105,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,24,-93,20,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,15,-93,17,0,100.0,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,14,-93,18,1,94.4444444444,-1,-1
1505672611,00-17-0d-00-00-38-06-d5,23,-86,21,2,90.4761904762,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,11,-93,12,1,91.6666666667,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,25,-93,15,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,13,-93,16,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,12,-92,15,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,20,-93,15,0,100.0,-1,-1
1505673962,00-17-0d-00-00-38-06-d5,21,-93,16,0,100.0,-1,-1
